,city,state,name,zip,address,neighborhood,pet.allowed,pet.rent,pet.deposit,pet.fee,has.covered,garage.fee,lot.fee,has.street,covered.fee,has.lot,street.fee,has.garage,college.count,Robert.Morris.University.Illinois,DePaul.University,Roosevelt.University,Public.Elementary..Middle.School,Public.High.School,Private.Elementary..Middle.School,Private.Elementary.Middle..High.School,South.Loop.Elementary.School,Smyth..J.Elementary.School,Phillips.Academy.High.School,Hope.College.Prep.High.School,Village.Leadership.Academy,British.International.School.of.Chicago.South.Loop,shopping.num,base.num,rec.num,air.num,transit.num,rail.num,transit.score,bike.score,sound.score,walk.score,busi.level,air.level,traffic.level,beds,sqft,baths,rent
19,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,448.0,1.0,
20,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,448.0,1.0,
21,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,453.0,1.0,
22,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,464.0,1.0,
23,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,467.0,1.0,
24,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,468.0,1.0,
25,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,468.0,1.0,
26,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,579.0,1.0,
27,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,579.0,1.0,
28,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,602.0,1.0,
29,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,602.0,1.0,
30,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,680.0,1.0,
31,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,0.0,685.0,1.0,
32,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,744.0,1.0,2426.0
33,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,743.0,1.0,2528.0
34,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,794.0,1.0,2635.0
35,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,720.0,1.0,2288.0
36,Chicago,IL,Alta Grand Central,60607,221 W Harrison St,South Loop,allowed,0,0,0,False,300.0,0,False,0,True,0,True,3,True,True,True,2,2,1,1,1,1,1,1,1,1,3,1,5,2,5,5,100.0,87.0,65.0,95.0,Busy,Calm,Busy,1.0,661.0,1.0,
